match_id,date,match_type,team1,team2,venue,city,toss_winner,winner
1082591,2017-04-05,T20,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
1082592,2017-04-06,T20,Rising Pune Supergiant,Mumbai Indians,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Rising Pune Supergiant
1082593,2017-04-07,T20,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Rajkot,Kolkata Knight Riders,Kolkata Knight Riders
1082594,2017-04-08,T20,Kings XI Punjab,Rising Pune Supergiant,Holkar Cricket Stadium,Indore,Kings XI Punjab,Kings XI Punjab
1082595,2017-04-08,T20,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Royal Challengers Bangalore
1082596,2017-04-09,T20,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1082597,2017-04-09,T20,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,Mumbai Indians,Mumbai Indians
1082598,2017-04-10,T20,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,Indore,Royal Challengers Bangalore,Kings XI Punjab
1082599,2017-04-11,T20,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Delhi Daredevils
1082600,2017-04-12,T20,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai,Mumbai Indians,Mumbai Indians
1082601,2017-04-13,T20,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata,Kolkata Knight Riders,Kolkata Knight Riders
1082602,2017-04-14,T20,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,Mumbai Indians
1082603,2017-04-14,T20,Gujarat Lions,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Gujarat Lions
1082604,2017-04-15,T20,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders
1082605,2017-04-15,T20,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,Delhi Daredevils,Delhi Daredevils
1082606,2017-04-16,T20,Mumbai Indians,Gujarat Lions,Wankhede Stadium,Mumbai,Mumbai Indians,Mumbai Indians
1082607,2017-04-16,T20,Royal Challengers Bangalore,Rising Pune Supergiant,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Rising Pune Supergiant
1082608,2017-04-17,T20,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,Delhi Daredevils,Kolkata Knight Riders
1082609,2017-04-17,T20,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
1082610,2017-04-18,T20,Gujarat Lions,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Royal Challengers Bangalore
1082611,2017-04-19,T20,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1082612,2017-04-20,T20,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium,Indore,Mumbai Indians,Mumbai Indians
1082613,2017-04-21,T20,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,Kolkata,Gujarat Lions,Gujarat Lions
1082614,2017-04-22,T20,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai,Delhi Daredevils,Mumbai Indians
1082615,2017-04-22,T20,Rising Pune Supergiant,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Rising Pune Supergiant
1082616,2017-04-23,T20,Gujarat Lions,Kings XI Punjab,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Kings XI Punjab
1082617,2017-04-23,T20,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders
1082618,2017-04-24,T20,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,Mumbai,Mumbai Indians,Rising Pune Supergiant
1082620,2017-04-26,T20,Rising Pune Supergiant,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,Kolkata Knight Riders,Kolkata Knight Riders
1082621,2017-04-27,T20,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,Bangalore,Gujarat Lions,Gujarat Lions
1082622,2017-04-28,T20,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata,Kolkata Knight Riders,Kolkata Knight Riders
1082623,2017-04-28,T20,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kings XI Punjab,Sunrisers Hyderabad
1082624,2017-04-29,T20,Rising Pune Supergiant,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Pune,Royal Challengers Bangalore,Rising Pune Supergiant
1082625,2017-04-29,T20,Gujarat Lions,Mumbai Indians,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,
1082626,2017-04-30,T20,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kings XI Punjab,Kings XI Punjab
1082627,2017-04-30,T20,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
1082628,2017-05-01,T20,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,Royal Challengers Bangalore,Mumbai Indians
1082629,2017-05-01,T20,Rising Pune Supergiant,Gujarat Lions,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Rising Pune Supergiant
1082630,2017-05-02,T20,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,Delhi Daredevils,Delhi Daredevils
1082631,2017-05-03,T20,Kolkata Knight Riders,Rising Pune Supergiant,Eden Gardens,Kolkata,Rising Pune Supergiant,Rising Pune Supergiant
1082632,2017-05-04,T20,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,Delhi,Delhi Daredevils,Delhi Daredevils
1082633,2017-05-05,T20,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Kings XI Punjab
1082634,2017-05-06,T20,Sunrisers Hyderabad,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiant
1082635,2017-05-06,T20,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi,Delhi Daredevils,Mumbai Indians
1082636,2017-05-07,T20,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
1082637,2017-05-07,T20,Kings XI Punjab,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Gujarat Lions,Gujarat Lions
1082638,2017-05-08,T20,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Mumbai Indians,Sunrisers Hyderabad
1082639,2017-05-09,T20,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kolkata Knight Riders,Kings XI Punjab
1082640,2017-05-10,T20,Gujarat Lions,Delhi Daredevils,Green Park,Kanpur,Delhi Daredevils,Delhi Daredevils
1082641,2017-05-11,T20,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai,Mumbai Indians,Kings XI Punjab
1082642,2017-05-12,T20,Delhi Daredevils,Rising Pune Supergiant,Feroz Shah Kotla,Delhi,Delhi Daredevils,Delhi Daredevils
1082643,2017-05-13,T20,Gujarat Lions,Sunrisers Hyderabad,Green Park,Kanpur,Sunrisers Hyderabad,Sunrisers Hyderabad
1082644,2017-05-13,T20,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,Kolkata Knight Riders,Mumbai Indians
1082645,2017-05-14,T20,Rising Pune Supergiant,Kings XI Punjab,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Rising Pune Supergiant
1082646,2017-05-14,T20,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,Royal Challengers Bangalore,Royal Challengers Bangalore
1082647,2017-05-16,T20,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,Mumbai,Mumbai Indians,Rising Pune Supergiant
1082648,2017-05-17,T20,Sunrisers Hyderabad,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
1082649,2017-05-19,T20,Mumbai Indians,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,Mumbai Indians
1082650,2017-05-21,T20,Mumbai Indians,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Mumbai Indians,Mumbai Indians
1136561,2018-04-07,T20,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai,Chennai Super Kings,Chennai Super Kings
1136562,2018-04-08,T20,Delhi Daredevils,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Kings XI Punjab,Kings XI Punjab
1136563,2018-04-08,T20,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Kolkata,Kolkata Knight Riders,Kolkata Knight Riders
1136564,2018-04-09,T20,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1136565,2018-04-10,T20,Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Chennai Super Kings
1136566,2018-04-11,T20,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Jaipur,Delhi Daredevils,Rajasthan Royals
1136567,2018-04-12,T20,Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1136568,2018-04-13,T20,Kings XI Punjab,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Royal Challengers Bangalore
1136569,2018-04-14,T20,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai,Delhi Daredevils,Delhi Daredevils
1136570,2018-04-14,T20,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,Sunrisers Hyderabad,Sunrisers Hyderabad
1136571,2018-04-15,T20,Rajasthan Royals,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Rajasthan Royals
1136572,2018-04-15,T20,Kings XI Punjab,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Chennai Super Kings,Kings XI Punjab
1136573,2018-04-16,T20,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata,Delhi Daredevils,Kolkata Knight Riders
1136574,2018-04-17,T20,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,Royal Challengers Bangalore,Mumbai Indians
1136575,2018-04-18,T20,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,Kolkata Knight Riders,Kolkata Knight Riders
1136576,2018-04-19,T20,Kings XI Punjab,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Kings XI Punjab,Kings XI Punjab
