match_id,date,match_type,team1,team2,venue,city,toss_winner,winner
1000887,2017-01-13,ODI,Australia,Pakistan,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,Australia
1000889,2017-01-15,ODI,Australia,Pakistan,Melbourne Cricket Ground,,Australia,Pakistan
1000891,2017-01-19,ODI,Australia,Pakistan,Western Australia Cricket Association Ground,Perth,Australia,Australia
1000893,2017-01-22,ODI,Australia,Pakistan,Sydney Cricket Ground,,Australia,Australia
1000895,2017-01-26,ODI,Australia,Pakistan,Adelaide Oval,,Australia,Australia
1001371,2016-12-04,ODI,Australia,New Zealand,Sydney Cricket Ground,,Australia,Australia
1001373,2016-12-06,ODI,Australia,New Zealand,Manuka Oval,Canberra,New Zealand,Australia
1001375,2016-12-09,ODI,Australia,New Zealand,Melbourne Cricket Ground,,Australia,Australia
1004283,2016-09-08,ODI,Scotland,Hong Kong,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Hong Kong,
1004285,2016-09-10,ODI,Scotland,Hong Kong,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland,Scotland
1007649,2016-06-11,ODI,Zimbabwe,India,Harare Sports Club,,India,India
1007651,2016-06-13,ODI,Zimbabwe,India,Harare Sports Club,,India,India
1007653,2016-06-15,ODI,Zimbabwe,India,Harare Sports Club,,Zimbabwe,India
1019973,2016-12-26,ODI,New Zealand,Bangladesh,Hagley Oval,Christchurch,New Zealand,New Zealand
1019975,2016-12-29,ODI,New Zealand,Bangladesh,Saxton Oval,Nelson,Bangladesh,New Zealand
1019977,2016-12-31,ODI,New Zealand,Bangladesh,Saxton Oval,Nelson,Bangladesh,New Zealand
1020013,2017-01-30,ODI,New Zealand,Australia,Eden Park,Auckland,Australia,New Zealand
1020017,2017-02-05,ODI,New Zealand,Australia,Seddon Park,Hamilton,New Zealand,New Zealand
1020031,2017-02-19,ODI,New Zealand,South Africa,Seddon Park,Hamilton,South Africa,South Africa
1020033,2017-02-22,ODI,New Zealand,South Africa,Hagley Oval,Christchurch,South Africa,New Zealand
1020035,2017-02-25,ODI,New Zealand,South Africa,Westpac Stadium,Wellington,South Africa,South Africa
1020037,2017-03-01,ODI,New Zealand,South Africa,Seddon Park,Hamilton,South Africa,New Zealand
1020039,2017-03-04,ODI,New Zealand,South Africa,Eden Park,Auckland,South Africa,South Africa
1022347,2017-06-01,ODI,England,Bangladesh,Kennington Oval,London,England,England
1022349,2017-06-02,ODI,Australia,New Zealand,Edgbaston,Birmingham,New Zealand,
1022351,2017-06-03,ODI,South Africa,Sri Lanka,Kennington Oval,London,Sri Lanka,South Africa
1022353,2017-06-04,ODI,India,Pakistan,Edgbaston,Birmingham,Pakistan,India
1022355,2017-06-05,ODI,Australia,Bangladesh,Kennington Oval,London,Bangladesh,
1022357,2017-06-06,ODI,England,New Zealand,Sophia Gardens,Cardiff,New Zealand,England
1022359,2017-06-07,ODI,Pakistan,South Africa,Edgbaston,Birmingham,South Africa,Pakistan
1022361,2017-06-08,ODI,India,Sri Lanka,Kennington Oval,London,Sri Lanka,Sri Lanka
1022363,2017-06-09,ODI,Bangladesh,New Zealand,Sophia Gardens,Cardiff,New Zealand,Bangladesh
1022365,2017-06-10,ODI,England,Australia,Edgbaston,Birmingham,England,England
1022367,2017-06-11,ODI,India,South Africa,Kennington Oval,London,India,India
1022369,2017-06-12,ODI,Pakistan,Sri Lanka,Sophia Gardens,Cardiff,Pakistan,Pakistan
1022371,2017-06-14,ODI,England,Pakistan,Sophia Gardens,Cardiff,Pakistan,Pakistan
1022373,2017-06-15,ODI,Bangladesh,India,Edgbaston,Birmingham,India,India
1022375,2017-06-18,ODI,India,Pakistan,Kennington Oval,London,India,Pakistan
1026847,2016-11-04,ODI,Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok",Hong Kong,Hong Kong,Hong Kong
1026849,2016-11-06,ODI,Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok",Hong Kong,Papua New Guinea,Papua New Guinea
1026851,2016-11-08,ODI,Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok",Hong Kong,Papua New Guinea,Hong Kong
1027315,2017-03-03,ODI,West Indies,England,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,England
1027317,2017-03-05,ODI,West Indies,England,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,England
1027319,2017-03-09,ODI,West Indies,England,"Kensington Oval, Bridgetown",Barbados,West Indies,England
1029001,2017-05-05,ODI,England,Ireland,County Ground,Bristol,Ireland,England
1029003,2017-05-07,ODI,England,Ireland,Lord's,London,Ireland,England
1029819,2016-10-07,ODI,Bangladesh,England,Shere Bangla National Stadium,Mirpur,England,England
1029821,2016-10-09,ODI,Bangladesh,England,Shere Bangla National Stadium,Mirpur,England,Bangladesh
1029823,2016-10-12,ODI,Bangladesh,England,Zahur Ahmed Chowdhury Stadium,Chittagong,England,England
1030219,2016-10-16,ODI,India,New Zealand,Himachal Pradesh Cricket Association Stadium,Dharmasala,India,India
1030221,2016-10-20,ODI,India,New Zealand,Feroz Shah Kotla,Delhi,India,New Zealand
1030223,2016-10-23,ODI,India,New Zealand,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,India
1030225,2016-10-26,ODI,India,New Zealand,JSCA International Stadium Complex,Ranchi,New Zealand,New Zealand
1030227,2016-10-29,ODI,India,New Zealand,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,India
1031425,2017-05-24,ODI,England,South Africa,Headingley,Leeds,South Africa,England
1031427,2017-05-27,ODI,England,South Africa,The Rose Bowl,Southampton,South Africa,England
1031429,2017-05-29,ODI,England,South Africa,Lord's,London,South Africa,South Africa
1031667,2017-09-19,ODI,West Indies,England,Old Trafford,Manchester,West Indies,England
