match_id,date,match_type,team1,team2,venue,city,toss_winner,winner
1001349,2017-02-17,T20,Australia,Sri Lanka,Melbourne Cricket Ground,,Sri Lanka,Sri Lanka
1001351,2017-02-19,T20,Australia,Sri Lanka,"Simonds Stadium, South Geelong",Victoria,Sri Lanka,Sri Lanka
1001353,2017-02-22,T20,Australia,Sri Lanka,Adelaide Oval,,Sri Lanka,Australia
1004729,2016-09-05,T20,Ireland,Hong Kong,"Bready Cricket Club, Magheramason",Londonderry,Hong Kong,Hong Kong
1007655,2016-06-18,T20,Zimbabwe,India,Harare Sports Club,,India,Zimbabwe
1007657,2016-06-20,T20,Zimbabwe,India,Harare Sports Club,,Zimbabwe,India
1007659,2016-06-22,T20,Zimbabwe,India,Harare Sports Club,,Zimbabwe,India
1019979,2017-01-03,T20,New Zealand,Bangladesh,McLean Park,Napier,Bangladesh,New Zealand
1019981,2017-01-06,T20,New Zealand,Bangladesh,Bay Oval,Mount Maunganui,Bangladesh,New Zealand
1019983,2017-01-08,T20,New Zealand,Bangladesh,Bay Oval,Mount Maunganui,Bangladesh,New Zealand
1020029,2017-02-17,T20,New Zealand,South Africa,Eden Park,Auckland,New Zealand,South Africa
1031431,2017-06-21,T20,England,South Africa,The Rose Bowl,Southampton,South Africa,England
1031433,2017-06-23,T20,England,South Africa,County Ground,Taunton,England,South Africa
1031435,2017-06-25,T20,England,South Africa,Sophia Gardens,Cardiff,South Africa,England
1031665,2017-09-16,T20,West Indies,England,Riverside Ground,Chester-le-Street,England,West Indies
1034825,2017-01-26,T20,India,England,Green Park,Kanpur,England,England
1034827,2017-01-29,T20,India,England,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,England,India
1034829,2017-02-01,T20,India,England,M Chinnaswamy Stadium,Bangalore,England,India
1041615,2016-08-27,T20,India,West Indies,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,West Indies
1041617,2016-08-28,T20,India,West Indies,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,
